Species,Pyruvate,Formate Produced (mmol)
L. crispatus,0 mmol,-0.02069
L. crispatus,0 mmol,0.08276
L. crispatus,0 mmol,-0.08276
L. crispatus,10 mmol,-0.3134535
L. crispatus,10 mmol,0.0208969
L. crispatus,10 mmol,-0.1671752
L. crispatus,100 mmol,-0.250349
L. crispatus,100 mmol,-0.113795
L. crispatus,100 mmol,2.56462E-15
L. iners,0 mmol,-0.18621
L. iners,0 mmol,-0.26897
L. iners,0 mmol,-0.22759
L. iners,10 mmol,-0.3761442
L. iners,10 mmol,-0.0626907
L. iners,10 mmol,-0.1671752
L. iners,100 mmol,-0.22759
L. iners,100 mmol,-0.068277
L. iners,100 mmol,0.159313
L. gasseri,0 mmol,-0.211618
L. gasseri,0 mmol,-0.19238
L. gasseri,0 mmol,-0.346284
L. gasseri,10 mmol,-0.11658228
L. gasseri,10 mmol,-0.11658228
L. gasseri,10 mmol,-0.07772152
L. gasseri,100 mmol,-0.6771776
L. gasseri,100 mmol,-0.5078832
L. gasseri,100 mmol,-0.3809124
L. jensenii,0 mmol,-0.230856
L. jensenii,0 mmol,-0.19238
L. jensenii,0 mmol,-0.19238
L. jensenii,10 mmol,-0.0971519
L. jensenii,10 mmol,-0.31088608
L. jensenii,10 mmol,-0.23316456
L. jensenii,100 mmol,-0.2539416
L. jensenii,100 mmol,-0.2327798
L. jensenii,100 mmol,-0.2751034
G. vaginalis,0 mmol,-0.04138
G. vaginalis,0 mmol,-0.31035
G. vaginalis,0 mmol,-0.33104
G. vaginalis,10 mmol,-0.2298659
G. vaginalis,10 mmol,-0.3761442
G. vaginalis,10 mmol,-0.1044845
G. vaginalis,100 mmol,-0.113795
G. vaginalis,100 mmol,-0.341385
G. vaginalis,100 mmol,-0.22759
G. piotii,0 mmol,6.656348
G. piotii,0 mmol,7.079584
G. piotii,0 mmol,6.367778
G. piotii,10 mmol,6.1205697
G. piotii,10 mmol,6.0234178
G. piotii,10 mmol,5.40164564
G. piotii,100 mmol,2.751034
G. piotii,100 mmol,2.6029014
G. piotii,100 mmol,2.9838138
G. swidsinskii,0 mmol,2.616368
G. swidsinskii,0 mmol,3.405126
G. swidsinskii,0 mmol,2.69332
G. swidsinskii,10 mmol,2.5259494
G. swidsinskii,10 mmol,2.11791142
G. swidsinskii,10 mmol,2.29278484
G. swidsinskii,100 mmol,1.5448114
G. swidsinskii,100 mmol,1.1427372
G. swidsinskii,100 mmol,1.269708
G. leopoldii,0 mmol,2.674082
G. leopoldii,0 mmol,2.520178
G. leopoldii,0 mmol,2.462464
G. leopoldii,10 mmol,3.32259498
G. leopoldii,10 mmol,3.86664562
G. leopoldii,10 mmol,4.33297474
G. leopoldii,100 mmol,3.914933
G. leopoldii,100 mmol,3.6821532
G. leopoldii,100 mmol,3.4705352
F. vaginae,0 mmol,1.90348
F. vaginae,0 mmol,1.63451
F. vaginae,0 mmol,2.17245
F. vaginae,10 mmol,2.5494218
F. vaginae,10 mmol,1.6508551
F. vaginae,10 mmol,2.0061024
F. vaginae,100 mmol,4.142138
F. vaginae,100 mmol,4.415246
F. vaginae,100 mmol,2.184864
A. indicium,0 mmol,0.654092
A. indicium,0 mmol,0.692568
A. indicium,0 mmol,0.67333
A. indicium,10 mmol,0.73835444
A. indicium,10 mmol,0.4857595
A. indicium,10 mmol,0.5829114
A. indicium,100 mmol,0.7829866
A. indicium,100 mmol,0.5925304
A. indicium,100 mmol,0.6983394
A. nucleatus,0 mmol,4.367026
A. nucleatus,0 mmol,4.482454
A. nucleatus,0 mmol,4.52093
A. nucleatus,10 mmol,3.86664562
A. nucleatus,10 mmol,4.1775317
A. nucleatus,10 mmol,4.2746836
A. nucleatus,100 mmol,0.4020742
A. nucleatus,100 mmol,0.3809124
A. nucleatus,100 mmol,0.5078832
M. lornae,0 mmol,0.634854
M. lornae,0 mmol,0.250094
M. lornae,0 mmol,0.307808
M. lornae,10 mmol,-0.25259494
M. lornae,10 mmol,0.15544304
M. lornae,10 mmol,0.27202532
M. lornae,100 mmol,5.0153466
M. lornae,100 mmol,5.0576702
M. lornae,100 mmol,5.7348478
M. vaginalis,0 mmol,0.269332
M. vaginalis,0 mmol,0.538664
M. vaginalis,0 mmol,0.48095
M. vaginalis,10 mmol,0.11658228
M. vaginalis,10 mmol,-0.07772152
M. vaginalis,10 mmol,0.2914557
M. vaginalis,100 mmol,1.7141058
M. vaginalis,100 mmol,2.1796654
M. vaginalis,100 mmol,1.269708
S. vaginalis,0 mmol,12.95194
S. vaginalis,0 mmol,13.11746
S. vaginalis,0 mmol,12.16572
S. vaginalis,10 mmol,13.3322222
S. vaginalis,10 mmol,16.4249634
S. vaginalis,10 mmol,16.2368913
S. vaginalis,100 mmol,19.686535
S. vaginalis,100 mmol,21.143111
S. vaginalis,100 mmol,19.458945
