Isolate,Formate Depleted
L. crispatus,0.720888
L. crispatus,0.669396
L. crispatus,2.5746
L. iners,-6.4365
L. iners,-0.823872
L. iners,-8.856624
G. vaginalis ATCC14018,-0.669396
G. vaginalis ATCC14018,0.617904
G. vaginalis ATCC14018,2.111172
G. vaginalis 315-A,-6.333516
G. vaginalis 315-A,-1.905204
G. vaginalis 315-A,-3.552948
G. piotii,0.51492
G. piotii,1.493268
G. piotii,2.729076
G. swidsinskii,-0.51492
G. swidsinskii,0.77238
G. swidsinskii,0.051492
G. leopoldii,-2.5746
G. leopoldii,-1.699236
G. leopoldii,2.008188
S. vaginalis,-4.582788
S. vaginalis,-1.596252
S. vaginalis,-0.823872
P. bivia,-5.767104
P. bivia,-6.487992
P. bivia,-11.740176
