Isolate,Condition,Measured Formate Concentration
A. indicium,Media Control,73.017576
A. indicium,Killed,75.740428
A. indicium,Live,71.942766
A. indicium,Live,71.226226
A. indicium,Live,75.740428
A. nucleatus,Media Control,73.017576
A. nucleatus,Killed,67.786834
A. nucleatus,Live,72.444344
A. nucleatus,Live,73.4475
A. nucleatus,Live,78.033356
M. lornae,Media Control,77.961702
M. lornae,Killed,55.462346
M. lornae,Live,50.51822
M. lornae,Live,55.17573
M. lornae,Live,51.23476
M. vaginalis,Media Control,77.961702
M. vaginalis,Killed,56.25054
M. vaginalis,Live,73.232538
M. vaginalis,Live,58.901738
M. vaginalis,Live,60.979704
