Isolate,Condition,Measured Formate Concentration
L. crispatus,Media Control,53.976376
L. crispatus,Killed,51.607744
L. crispatus,Live,50.886856
L. crispatus,Live,50.938348
L. crispatus,Live,49.033144
L. iners,Media Control,53.976376
L. iners,Killed,46.252576
L. iners,Live,52.689076
L. iners,Live,47.076448
L. iners,Live,55.1092
G. vaginalis ATCC14018,Media Control,53.976376
G. vaginalis ATCC14018,Killed,47.797336
G. vaginalis ATCC14018,Live,48.466732
G. vaginalis ATCC14018,Live,47.179432
G. vaginalis ATCC14018,Live,45.686164
G. vaginalis 315-A,Media Control,53.976376
G. vaginalis 315-A,Killed,40.330996
G. vaginalis 315-A,Live,46.664512
G. vaginalis 315-A,Live,42.2362
G. vaginalis 315-A,Live,43.883944
G. piotii,Media Control,53.976376
G. piotii,Killed,48.775684
G. piotii,Live,48.260764
G. piotii,Live,47.282416
G. piotii,Live,46.046608
G. swidsinskii,Media Control,53.976376
G. swidsinskii,Killed,46.510036
G. swidsinskii,Live,47.024956
G. swidsinskii,Live,45.737656
G. swidsinskii,Live,46.458544
G. leopoldii,Media Control,53.976376
G. leopoldii,Killed,44.192896
G. leopoldii,Live,46.767496
G. leopoldii,Live,45.892132
G. leopoldii,Live,42.184708
S. vaginalis,Media Control,41.97874
S. vaginalis,Killed,44.55334
S. vaginalis,Live,49.136128
S. vaginalis,Live,46.149592
S. vaginalis,Live,45.377212
P. bivia,Media Control,47.3854
P. bivia,Killed,44.03842
P. bivia,Live,49.805524
P. bivia,Live,50.526412
P. bivia,Live,55.778596
A. indicium,Media Control,73.017576
A. indicium,Killed,75.740428
A. indicium,Live,71.942766
A. indicium,Live,71.226226
A. indicium,Live,75.740428
A. nucleatus,Media Control,73.017576
A. nucleatus,Killed,67.786834
A. nucleatus,Live,72.444344
A. nucleatus,Live,73.4475
A. nucleatus,Live,78.033356
M. lornae,Media Control,77.961702
M. lornae,Killed,55.462346
M. lornae,Live,50.51822
M. lornae,Live,55.17573
M. lornae,Live,51.23476
M. vaginalis,Media Control,77.961702
M. vaginalis,Killed,56.25054
M. vaginalis,Live,73.232538
M. vaginalis,Live,58.901738
M. vaginalis,Live,60.979704
