Species,Pyruvate,Formate (mmol)
Mobiluncus curtisii,0,-0.1841224
Mobiluncus curtisii,0,0.1052128
Mobiluncus curtisii,0,0.5786704
Mobiluncus curtisii,10,2.73385896
Mobiluncus curtisii,10,2.97273984
Mobiluncus curtisii,10,2.54806272
Mobiluncus curtisii,100,3.0989952
Mobiluncus curtisii,100,3.0416064
Mobiluncus curtisii,100,3.4146336
Mobiluncus mulieris,0,0.7101864
Mobiluncus mulieris,0,-0.1841224
Mobiluncus mulieris,0,0.2893352
Mobiluncus mulieris,10,2.7869436
Mobiluncus mulieris,10,2.60114736
Mobiluncus mulieris,10,2.36226648
Mobiluncus mulieris,100,11.2482048
Mobiluncus mulieris,100,10.2725952
Mobiluncus mulieris,100,11.3629824
