Sample,Absorbance Change,Minutes
BV-_1,0,0
BV-_1,-0.001,1
BV-_1,-0.005,2
BV-_1,-0.009,3
BV-_1,-0.011,4
BV-_1,-0.011,5
BV-_1,-0.011,6
BV-_1,-0.009,7
BV-_1,-0.011,8
BV-_1,-0.01,9
BV-_1,-0.009,10
BV-_1,-0.008,11
BV-_1,-0.008,12
BV-_1,-0.009,13
BV-_1,-0.008,14
BV-_1,-0.007,15
BV-_1,-0.007,16
BV-_1,-0.008,17
BV-_1,-0.006,18
BV-_1,-0.008,19
BV-_1,-0.007,20
BV-_1,-0.005,21
BV-_1,-0.005,22
BV-_1,-0.005,23
BV-_1,-0.005,24
BV-_1,-0.004,25
BV-_1,-0.003,26
BV-_1,0.002,27
BV-_1,0.005,28
BV-_1,0,29
BV-_1,-0.002,30
BV-_2,0,0
BV-_2,0.007,1
BV-_2,0.01,2
BV-_2,0.009,3
BV-_2,0.011,4
BV-_2,0.012,5
BV-_2,0.011,6
BV-_2,0.01,7
BV-_2,0.01,8
BV-_2,0.01,9
BV-_2,0.01,10
BV-_2,0.009,11
BV-_2,0.009,12
BV-_2,0.009,13
BV-_2,0.009,14
BV-_2,0.009,15
BV-_2,0.006,16
BV-_2,0.008,17
BV-_2,0.009,18
BV-_2,0.008,19
BV-_2,0.009,20
BV-_2,0.009,21
BV-_2,0.008,22
BV-_2,0.008,23
BV-_2,0.007,24
BV-_2,0.007,25
BV-_2,0.007,26
BV-_2,0.007,27
BV-_2,0.007,28
BV-_2,0.007,29
BV-_2,0.006,30
BV+_1,0,0
BV+_1,-0.002,1
BV+_1,-0.002,2
BV+_1,-0.002,3
BV+_1,-0.001,4
BV+_1,-0.002,5
BV+_1,-0.003,6
BV+_1,-0.003,7
BV+_1,-0.005,8
BV+_1,-0.006,9
BV+_1,-0.007,10
BV+_1,-0.008,11
BV+_1,-0.008,12
BV+_1,-0.009,13
BV+_1,-0.01,14
BV+_1,-0.012,15
BV+_1,-0.011,16
BV+_1,-0.01,17
BV+_1,-0.011,18
BV+_1,-0.012,19
BV+_1,-0.014,20
BV+_1,-0.014,21
BV+_1,-0.014,22
BV+_1,-0.015,23
BV+_1,-0.015,24
BV+_1,-0.016,25
BV+_1,-0.016,26
BV+_1,-0.016,27
BV+_1,-0.017,28
BV+_1,-0.017,29
BV+_1,-0.017,30
BV+_2,0,0
BV+_2,-0.005,1
BV+_2,-0.01,2
BV+_2,-0.014,3
BV+_2,-0.016,4
BV+_2,-0.017,5
BV+_2,-0.017,6
BV+_2,-0.019,7
BV+_2,-0.023,8
BV+_2,-0.023,9
BV+_2,-0.025,10
BV+_2,-0.028,11
BV+_2,-0.027,12
BV+_2,-0.028,13
BV+_2,-0.027,14
BV+_2,-0.028,15
BV+_2,-0.029,16
BV+_2,-0.032,17
BV+_2,-0.032,18
BV+_2,-0.031,19
BV+_2,-0.033,20
BV+_2,-0.035,21
BV+_2,-0.036,22
BV+_2,-0.037,23
BV+_2,-0.037,24
BV+_2,-0.038,25
BV+_2,-0.038,26
BV+_2,-0.04,27
BV+_2,-0.039,28
BV+_2,-0.04,29
BV+_2,-0.04,30
