Isolate,Polyamines (uM)
DNF00528,1.387415766
DNF00528,15.58292805
DNF00528,15.53304651
DSM15829,-2.591229797
DSM15829,13.97364329
DSM15829,14.01351729
Media,0.20913912
Media,8.518456167
Media,9.39553976
DSM19965,4059.073328
DSM19965,3537.720802
DSM19965,3895.589936
"DSM19965+
DSM15829",7776.326807
"DSM19965+
DSM15829",8023.545596
"DSM19965+
DSM15829",7789.285857
DNF00843,4779.866567
DNF00843,5068.763769
DNF00843,4870.276842
"DNF00843+
DSM15829",6790.7158
"DNF00843+
DSM15829",7857.972731
"DNF00843+
DSM15829",8383.807208
