Isolate,Polyamines (uM)
"DSM19965+
Ornithine",169.35
"DSM19965+
Ornithine",159.71
"DSM19965+
Ornithine",159.13
"DNF00843+
Ornithine",178.05
"DNF00843+
Ornithine",158.98
"DNF00843+
Ornithine",160.75
ATCC14018,12.1445049
ATCC14018,12.5277054
ATCC14018,13.5451027
"DSM19965+
DNF00528",4668.780656
"DSM19965+
DNF00528",5397.819589
"DSM19965+
DNF00528",5017.493102
"DNF00843+
DNF00528",4302.824188
"DNF00843+
DNF00528",5155.445279
"DNF00843+
DNF00528",5205.261343
"DSM19965+
ATCC14018",5896.938228
"DSM19965+
ATCC14018",5211.967351
"DSM19965+
ATCC14018",6166.136573
"DNF00843+
ATCC14018",7116.473789
"DNF00843+
ATCC14018",6405.636879
"DNF00843+
ATCC14018",5604.747854
DNF00528,1.387415766
DNF00528,15.58292805
DNF00528,15.53304651
DSM15829,-2.591229797
DSM15829,13.97364329
DSM15829,14.01351729
Media,0.20913912
Media,8.518456167
Media,9.39553976
DSM19965,4059.073328
DSM19965,3537.720802
DSM19965,3895.589936
"DSM19965+
DSM15829",7776.326807
"DSM19965+
DSM15829",8023.545596
"DSM19965+
DSM15829",7789.285857
DNF00843,4779.866567
DNF00843,5068.763769
DNF00843,4870.276842
"DNF00843+
DSM15829",6790.7158
"DNF00843+
DSM15829",7857.972731
"DNF00843+
DSM15829",8383.807208
