Sample,Metabolite,Peak Area,Corrected Peak Area
Media,Putrescine,867140,1
Media,Cadaverine,45830,1
Media,Spermidine,5844000,1
15829,Putrescine,2071012,1203872.165
15829,Cadaverine,69384,23553.71156
15829,Spermidine,7904000,2060000
19965,Putrescine,36863343,35996203.44
19965,Cadaverine,304718588,304672757.9
19965,Spermidine,12420000,6576000
19965+15829,Putrescine,147822537,146955397.3
19965+15829,Cadaverine,349940243,349894412.7
19965+15829,Spermidine,12500000,6656000
19965+Ornithine,Putrescine,1688309583,1687442443
19965+Ornithine,Cadaverine,1,1
19965+Ornithine,Spermidine,47110000,41266000
843,Putrescine,30746649,29879509.3
843,Cadaverine,275973770,275927939.6
843,Spermidine,9203000,3359000
843+15829,Putrescine,145150030,144282889.8
843+15829,Cadaverine,346643075,346597245.4
843+15829,Spermidine,16820000,10976000
843+Ornithine,Putrescine,1700599590,1699732450
843+Ornithine,Cadaverine,1,1
843+Ornithine,Spermidine,42350000,36506000
