Sample,Hours,Percent Change (Formate)
DNF00809,0,100
DNF00809,0,100
DNF00809,0,100
DNF00809,24,94.22825964
DNF00809,24,92.06941751
DNF00809,24,131.3212786
DNF00809,48,82.68477891
DNF00809,48,92.38664081
DNF00809,48,98.21021265
DNF00809,72,54.71403714
DNF00809,72,55.27151477
DNF00809,72,68.08212563
Mock-Inoculated,0,100
Mock-Inoculated,0,100
Mock-Inoculated,0,100
Mock-Inoculated,24,93.57502895
Mock-Inoculated,24,86.58725469
Mock-Inoculated,24,93.95824173
Mock-Inoculated,48,100.9518476
Mock-Inoculated,48,96.84405993
Mock-Inoculated,48,103.0208791
Mock-Inoculated,72,92.86114328
Mock-Inoculated,72,86.32425968
Mock-Inoculated,72,108.8108975
