Hours,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
0,0.231,0.23,0.226,0.226,0.166,0.244,0.243,0.248,0.252,0.15,0.26,0.252,0.257,0.253,0.162
0.5,0.245,0.242,0.248,0.242,0.159,0.258,0.258,0.261,0.261,0.151,0.282,0.268,0.272,0.267,0.162
1,0.244,0.248,0.251,0.243,0.155,0.258,0.264,0.262,0.264,0.152,0.281,0.274,0.277,0.273,0.162
1.5,0.252,0.254,0.258,0.25,0.152,0.258,0.264,0.262,0.264,0.152,0.281,0.275,0.278,0.274,0.162
2,0.259,0.261,0.265,0.259,0.151,0.259,0.265,0.264,0.266,0.152,0.282,0.275,0.279,0.275,0.162
2.5,0.268,0.271,0.271,0.268,0.151,0.26,0.265,0.264,0.266,0.152,0.282,0.275,0.279,0.276,0.161
3,0.276,0.279,0.278,0.281,0.15,0.263,0.266,0.267,0.269,0.152,0.283,0.275,0.279,0.276,0.161
3.5,0.283,0.281,0.282,0.285,0.15,0.264,0.267,0.267,0.27,0.152,0.282,0.275,0.279,0.276,0.16
4,0.283,0.283,0.285,0.296,0.149,0.267,0.269,0.269,0.272,0.152,0.282,0.275,0.279,0.276,0.16
4.5,0.268,0.262,0.258,0.295,0.149,0.27,0.273,0.274,0.276,0.152,0.282,0.275,0.279,0.277,0.16
5,0.268,0.279,0.268,0.283,0.149,0.273,0.277,0.278,0.281,0.151,0.282,0.274,0.28,0.277,0.16
5.5,0.297,0.292,0.273,0.32,0.148,0.276,0.28,0.282,0.285,0.151,0.283,0.275,0.28,0.278,0.159
6,0.323,0.322,0.303,0.346,0.148,0.28,0.284,0.287,0.29,0.151,0.284,0.276,0.281,0.279,0.159
6.5,0.344,0.335,0.325,0.365,0.148,0.283,0.287,0.291,0.295,0.151,0.286,0.277,0.283,0.28,0.158
7,0.377,0.356,0.352,0.388,0.148,0.286,0.29,0.294,0.298,0.15,0.288,0.278,0.285,0.282,0.157
7.5,0.413,0.378,0.382,0.423,0.148,0.291,0.295,0.3,0.305,0.15,0.29,0.281,0.287,0.285,0.157
8,0.433,0.41,0.406,0.458,0.147,0.294,0.298,0.306,0.311,0.15,0.294,0.283,0.291,0.288,0.157
8.5,0.447,0.422,0.424,0.478,0.147,0.297,0.302,0.31,0.315,0.15,0.297,0.286,0.294,0.291,0.156
9,0.456,0.432,0.433,0.493,0.147,0.3,0.306,0.315,0.32,0.149,0.301,0.289,0.297,0.295,0.156
9.5,0.46,0.437,0.431,0.497,0.147,0.302,0.309,0.319,0.324,0.149,0.305,0.292,0.301,0.299,0.155
10,0.466,0.44,0.439,0.505,0.147,0.305,0.311,0.323,0.328,0.149,0.309,0.296,0.306,0.303,0.155
10.5,0.469,0.442,0.435,0.519,0.147,0.307,0.314,0.327,0.331,0.149,0.314,0.3,0.31,0.307,0.155
11,0.466,0.445,0.44,0.52,0.147,0.309,0.317,0.331,0.335,0.149,0.318,0.304,0.314,0.311,0.154
11.5,0.47,0.447,0.441,0.527,0.147,0.309,0.32,0.334,0.337,0.149,0.322,0.307,0.318,0.315,0.154
12,0.472,0.454,0.446,0.536,0.147,0.312,0.322,0.337,0.338,0.149,0.326,0.309,0.322,0.319,0.153
12.5,0.478,0.459,0.454,0.544,0.147,0.313,0.324,0.34,0.342,0.149,0.329,0.312,0.326,0.321,0.153
13,0.482,0.466,0.461,0.55,0.147,0.314,0.325,0.342,0.345,0.149,0.333,0.316,0.328,0.325,0.153
13.5,0.491,0.473,0.464,0.565,0.146,0.314,0.324,0.341,0.347,0.148,0.334,0.318,0.33,0.327,0.152
14,0.501,0.479,0.473,0.573,0.146,0.315,0.324,0.343,0.35,0.148,0.338,0.32,0.332,0.329,0.152
