Sample,Hours,Formate,Percent
DNF00809,0,26.55649633,100
DNF00809,0,27.32377433,100
DNF00809,0,26.73703233,100
DNF00809,72,22.26876633,83.85430839
DNF00809,72,19.98949933,73.15789938
DNF00809,72,20.95988033,78.39269546
DNF00809,144,16.64958333,62.69495465
DNF00809,144,16.19824333,59.28259813
DNF00809,144,17.80050033,66.5762008
Uninoculated,0,23.84845633,100
Uninoculated,0,25.31531133,100
Uninoculated,0,21.43378733,100
Uninoculated,72,24.45776533,102.5549201
Uninoculated,72,27.27864033,107.7555001
Uninoculated,72,27.45917633,128.1116394
Uninoculated,144,26.17285733,109.746547
Uninoculated,144,25.22504333,99.64342528
Uninoculated,144,23.71305433,110.6339909
