id,protein,taxa,e-value
WP_009399930.1, amino acid ABC transporter ATP-binding protein,Actinomyces hongkongensis,1.47E-91
WP_155525096.1, MULTISPECIES: ATP-binding cassette domain-containing protein,Actinomyces ihumii;Actinomyces radingae,1.57E-88
WP_060936336.1, amino acid ABC transporter ATP-binding protein,Aerococcus christensenii,1.13E-97
WP_060777173.1, amino acid ABC transporter ATP-binding protein,Aerococcus christensenii,3.67E-97
WP_015777448.1, amino acid ABC transporter ATP-binding protein,Anaerococcus prevotii,1.13E-89
WP_004833786.1, amino acid ABC transporter ATP-binding protein,Anaerococcus prevotii,1.70E-89
WP_019116683.1, amino acid ABC transporter ATP-binding protein,Anaerococcus vaginalis,8.52E-92
WP_019116500.1, amino acid ABC transporter ATP-binding protein,Anaerococcus vaginalis,2.90E-88
WP_004808002.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Arcanobacterium haemolyticum,1.05E-120
WP_013169385.1, amino acid ABC transporter ATP-binding protein,Arcanobacterium haemolyticum,3.32E-92
WP_113722974.1, ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,Arcanobacterium haemolyticum,1.06E-90
WP_002563945.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Atopobium minutum,5.71E-135
WP_003840758.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Bifidobacterium dentium,3.05E-165
WP_065466859.1, amino acid ABC transporter ATP-binding protein,Bifidobacterium dentium,9.97E-165
WP_003837000.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Bifidobacterium dentium,7.00E-90
WP_003842505.1, amino acid ABC transporter ATP-binding protein,Bifidobacterium dentium,8.71E-90
WP_005027783.1," MULTISPECIES: amino acid ABC transporter ATP-binding protein, partial",Bilophila wadsworthia,5.26E-108
WP_005025934.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Bilophila wadsworthia,1.87E-101
WP_009369024.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Bilophila wadsworthia,1.48E-95
WP_016646655.1, amino acid ABC transporter ATP-binding protein,Campylobacter ureolyticus,2.97E-90
WP_081755362.1, amino acid ABC transporter ATP-binding protein,Campylobacter ureolyticus,4.16E-90
WP_018712784.1, amino acid ABC transporter ATP-binding protein,Campylobacter ureolyticus,6.44E-90
WP_082162623.1, amino acid ABC transporter ATP-binding protein,Campylobacter ureolyticus,1.72E-89
WP_101637001.1, amino acid ABC transporter ATP-binding protein,Campylobacter ureolyticus,3.28E-89
WP_117819481.1, amino acid ABC transporter ATP-binding protein ,Clostridium leptum,1.83E-90
WP_003532369.1, amino acid ABC transporter ATP-binding protein ,Clostridium leptum,1.51E-88
WP_007554579.1, amino acid ABC transporter ATP-binding protein,Dialister micraerophilus,3.74E-94
WP_007555416.1, amino acid ABC transporter ATP-binding protein,Dialister micraerophilus,1.58E-93
WP_068721475.1, amino acid ABC transporter ATP-binding protein,Dialister sp,2.53E-97
WP_068720179.1, amino acid ABC transporter ATP-binding protein,Dialister sp,4.07E-89
KXB54243.1," glutamine ABC transporter, ATP-binding protein GlnQ",Eggerthella like,1.45E-89
WP_000078330.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,3.99E-103
WP_000078339.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Escherichia coli,3.51E-102
WP_000078338.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Escherichia coli,3.75E-102
WP_065227764.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,4.27E-102
WP_000078340.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,4.98E-102
WP_000078321.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,1.33E-101
YP_006777252.1, phosphate ABC transporter ATP-binding protein,Escherichia coli,1.52E-101
YP_006121590.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,2.11E-101
YP_002414405.1, amino acid ABC transporter ATP-binding protein,Escherichia coli,4.39E-101
NP_417737.1, putative ABC transporter ATP-binding subunit YhdZ,Escherichia coli,5.28E-101
YP_006118953.1, glutamate and aspartate transporter subunit; ATP-binding component of ABC superfamily protein,Escherichia coli,1.94E-92
WP_000631384.1, MULTISPECIES: glutamate/aspartate ABC transporter ATP binding protein GltL,Escherichia coli,1.97E-92
WP_000631389.1, MULTISPECIES: glutamate/aspartate transport ATP-binding protein GltL,Escherichia coli,3.87E-92
YP_002406646.1, glutamate and aspartate ABC transporter ATP-binding protein,Escherichia coli,2.51E-91
YP_006119088.1, glutamine ABC transporter ATP-binding protein,Escherichia coli,6.43E-89
WP_022204048.1, polar amino acid transport system ATP-binding protein,Eubacterium sp,8.63E-96
WP_033125974.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Eubacterium sp,1.81E-95
WP_021953255.1, amino acid ABC transporter ATP-binding protein PAAT family (TC 3.A.1.3.-),Eubacterium sp,2.27E-95
WP_058693553.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Eubacterium sp,1.04E-94
WP_021906900.1, ABC transporter ATP-binding protein,Eubacterium sp,1.56E-94
WP_022206655.1, polar amino acid transport system ATP-binding protein,Eubacterium sp,2.64E-94
WP_013382081.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Eubacterium sp,4.54E-94
WP_022506371.1, amino acid ABC transporter ATP-binding protein PAAT family (TC 3.A.1.3.-),Eubacterium sp,8.88E-94
WP_087276428.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,6.40E-93
WP_087313019.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,9.82E-93
WP_117573269.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,1.77E-92
WP_022501975.1, polar amino acid transport system ATP-binding protein,Eubacterium sp,4.19E-92
WP_022259691.1, ABC transporter ATP-binding protein,Eubacterium sp,5.25E-92
WP_118351201.1, ATP-binding cassette domain-containing protein ,Eubacterium sp,6.36E-92
WP_021983107.1, hypothetical protein,Eubacterium sp,1.63E-91
WP_022097974.1, amino acid ABC transporter ATP-binding protein ,Eubacterium sp,1.96E-91
WP_033125605.1, MULTISPECIES: amino acid ABC transporter ATP-binding protein,Eubacterium sp,2.97E-91
WP_118116087.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,4.28E-91
WP_117915482.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,4.30E-91
WP_117995998.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,9.00E-91
WP_022431967.1, polar amino acid transport system ATP-binding protein,Eubacterium sp,1.01E-90
WP_021956283.1, ABC transporter related protein,Eubacterium sp,2.48E-90
WP_118115835.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,4.21E-90
WP_021867049.1, polar amino acid transport system ATP-binding protein,Eubacterium sp,5.54E-90
WP_087275745.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,8.75E-90
WP_117993902.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,3.00E-89
WP_117925187.1, amino acid ABC transporter ATP-binding protein,Eubacterium sp,3.65E-89
