id,protein,taxa,e-value
WP_021953334.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_119220470.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_117909826.1, MULTISPECIES: formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_087315655.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_117913604.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_022088503.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_119212031.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_022165802.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_027868660.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_016214973.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_117999120.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_087277859.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_007789501.1, formate--tetrahydrofolate ligase,Peptostreptococcus stomatis,0.0
WP_021982986.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_021957048.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_022206535.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_021906426.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_118022237.1, formate--tetrahydrofolate ligase,Megasphaera lornae,0.0
WP_033124925.1, MULTISPECIES: formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_129878958.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_154537097.1, formate--tetrahydrofolate ligase,Peptostreptococcus anaerobius,0.0
WP_022249688.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_090414046.1, MULTISPECIES: formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_050642244.1, MULTISPECIES: formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_058693219.1, MULTISPECIES: formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_002845428.1, formate--tetrahydrofolate ligase,Peptostreptococcus anaerobius,0.0
WP_061102012.1, formate--tetrahydrofolate ligase,Peptostreptococcus anaerobius,0.0
WP_060917057.1, formate--tetrahydrofolate ligase,Peptostreptococcus anaerobius,0.0
WP_002843252.1, formate--tetrahydrofolate ligase,Peptostreptococcus anaerobius,0.0
WP_075573466.1, formate--tetrahydrofolate ligase,Ezakiella massiliensis,0.0
WP_075714842.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_068720736.1, formate--tetrahydrofolate ligase,Dialister sp,0.0
WP_021972682.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_021912424.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_078352082.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_071704906.1, formate--tetrahydrofolate ligase,Murdochiella vaginalis,0.0
WP_049537484.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_022433466.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_117704698.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_022233954.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_021866143.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_022505176.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_000845244.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845297.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_049532672.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049544200.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_100104463.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049522283.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_049501789.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845245.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845270.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_022418069.1, formate--tetrahydrofolate ligase 1,Eubacterium sp,0.0
WP_033681738.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845260.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_049524078.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049497306.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_033677301.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845262.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_022206383.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_002563432.1, MULTISPECIES: formate--tetrahydrofolate ligase,Atopobium minutum,0.0
WP_049552391.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_000845265.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_141230407.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845254.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_138701802.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049509375.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_033680364.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_084930132.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_061589761.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_061424604.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845255.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_138705572.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_119943766.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_050975886.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049529640.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049526109.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049509539.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049491699.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049549934.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_023933628.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_060805285.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_040658956.1, formate--tetrahydrofolate ligase,Oscillibacter ruminantium,0.0
WP_000845266.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_060628207.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_033688881.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_054392846.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_033683742.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_036757497.1, formate--tetrahydrofolate ligase,Peptoniphilus lacrimalis,0.0
WP_119946662.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049539767.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_023938568.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_000845300.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_045611768.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_049547283.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_022204796.1, formate--tetrahydrofolate ligase,Eubacterium sp,0.0
WP_119947829.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_049551216.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_064276112.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845320.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845301.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_000845269.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
YP_003446303.1, formate-tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_138702448.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_050251485.1, MULTISPECIES: formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_023940175.1, formate--tetrahydrofolate ligase,Streptococcus pseudopneumoniae,0.0
WP_061087938.1, formate--tetrahydrofolate ligase,Streptococcus mitis,0.0
WP_117819850.1, formate--tetrahydrofolate ligase ,Clostridium leptum,0.0
