id,protein,taxa,e-value
WP_081637750.1, formate dehydrogenase-N subunit alpha,Bilophila wadsworthia,0.0
WP_081847476.1, formate dehydrogenase-N subunit alpha,Bilophila wadsworthia,0.0
WP_148399558.1, formate dehydrogenase-N subunit alpha,Bilophila wadsworthia,0.0
YP_002412465.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_002407733.1," formate dehydrogenase-N subunit alpha, nitrate-inducible",Escherichia coli,0.0
NP_415991.1, formate dehydrogenase N subunit alpha,Escherichia coli,0.0
WP_012817776.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077697106.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
NP_310105.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_143182663.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077626401.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077698162.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_118274569.1, molybdopterin-dependent oxidoreductase,Sutterella sp,0.0
WP_077626213.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_089158675.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077697102.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
NP_312847.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
NP_418330.1, formate dehydrogenase O subunit alpha,Escherichia coli,0.0
WP_011310337.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077884234.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_002415042.1, formate dehydrogenase-O large subunit,Escherichia coli,0.0
WP_149026280.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_139687722.1, molybdopterin dinucleotide-binding protein,Sutterella sp,0.0
WP_021994872.1, molybdopterin dinucleotide-binding region,Sutterella wadsworthensis,0.0
WP_016473895.1, molybdopterin-dependent oxidoreductase,Sutterella wadsworthensis,0.0
WP_005430612.1, molybdopterin-dependent oxidoreductase,Sutterella wadsworthensis,0.0
WP_022372559.1, formate dehydrogenase subunit alpha,Sutterella sp,0.0
WP_000395613.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_005435795.1, molybdopterin-dependent oxidoreductase,Sutterella wadsworthensis,0.0
WP_062332269.1, molybdopterin-dependent oxidoreductase,Sutterella sp,0.0
WP_141561824.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155759340.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_153065051.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_151238350.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_141562021.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_145960443.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155759390.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_144265952.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155397216.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155397416.1," formate dehydrogenase-N subunit alpha, partial",Haemophilus haemolyticus,0.0
WP_022444666.1, formate dehydrogenase subunit alpha,Sutterella sp,0.0
WP_000181584.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181649.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181622.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181666.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_006119819.1," formate dehydrogenase-N subunit alpha, nitrate-inducible",Escherichia coli,0.0
WP_065226895.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181523.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181531.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181529.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181537.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181536.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_006122231.1," formate dehydrogenase-O, large subunit",Escherichia coli,0.0
WP_118790240.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118782145.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_114891699.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118795660.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118843222.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_005646423.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118785010.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_134079887.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118856010.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_005628715.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_133498201.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_046940036.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_111407478.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
KXB53787.1," putative formate dehydrogenase, alpha subunit",Eggerthella like,0.0
WP_118861420.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_066779733.1, molybdopterin-dependent oxidoreductase,TM7 H1,0.0
WP_118846157.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_053465425.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118815577.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_111696557.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118777338.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118859215.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118867827.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_046953564.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_005643541.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118775193.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118803285.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_114909313.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_081634527.1, formate dehydrogenase subunit alpha,Campylobacter ureolyticus,1.49e-71
WP_081755350.1, formate dehydrogenase subunit alpha,Campylobacter ureolyticus,1.62e-70
WP_081617935.1, formate dehydrogenase,Campylobacter ureolyticus,1.66e-70
WP_081634525.1, formate dehydrogenase subunit alpha,Campylobacter ureolyticus,2.56e-70
WP_101636912.1, formate dehydrogenase subunit alpha,Campylobacter ureolyticus,6.24e-70
WP_081617940.1, formate dehydrogenase,Campylobacter ureolyticus,3.34e-69
WP_004838149.1, formate dehydrogenase subunit alpha,Anaerococcus vaginalis,2.59e-58
WP_004838149.1, formate dehydrogenase subunit alpha,Anaerococcus vaginalis,7.76e-09
WP_094230127.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.81e-55
WP_094223647.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.83e-55
WP_094210023.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.88e-55
WP_094208885.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.90e-55
WP_094207397.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.95e-55
WP_013379307.1, MULTISPECIES: formate dehydrogenase subunit alpha,Eubacterium sp,2.26e-55
WP_013379307.1, MULTISPECIES: formate dehydrogenase subunit alpha,Eubacterium sp,6.27e-06
WP_080565304.1, formate dehydrogenase subunit alpha,Finegoldia magna,3.14e-55
WP_110057840.1, formate dehydrogenase subunit alpha,Finegoldia magna,3.84e-55
WP_058695594.1, formate dehydrogenase subunit alpha,Eubacterium sp,4.19e-55
WP_058695594.1, formate dehydrogenase subunit alpha,Eubacterium sp,5.24e-06
WP_080552394.1, formate dehydrogenase subunit alpha,Finegoldia magna,4.82e-55
WP_081091115.1, formate dehydrogenase subunit alpha,Finegoldia magna,5.09e-55
WP_080551582.1, formate dehydrogenase subunit alpha,Finegoldia magna,5.19e-55
WP_154273762.1, formate dehydrogenase subunit alpha,Finegoldia magna,8.26e-55
WP_094203932.1, formate dehydrogenase subunit alpha,Finegoldia magna,8.65e-55
WP_080545245.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.07e-54
WP_080503393.1, formate dehydrogenase subunit alpha,Finegoldia magna,2.21e-54
WP_094225818.1, formate dehydrogenase subunit alpha,Finegoldia magna,1.35e-53
WP_081985393.1, formate dehydrogenase subunit alpha,Parvimonas micra,4.76e-51
WP_081985393.1, formate dehydrogenase subunit alpha,Parvimonas micra,1.08e-07
WP_081697337.1, formate dehydrogenase subunit alpha,Parvimonas micra,5.76e-51
WP_081697337.1, formate dehydrogenase subunit alpha,Parvimonas micra,1.08e-07
WP_118059362.1, formate dehydrogenase subunit alpha,Parvimonas micra,9.63e-51
WP_118059362.1, formate dehydrogenase subunit alpha,Parvimonas micra,1.03e-07
WP_156425740.1, formate dehydrogenase subunit alpha,TM7 H1,2.24e-50
WP_081446169.1, formate dehydrogenase subunit alpha,Parvimonas micra,3.33e-50
WP_081446169.1, formate dehydrogenase subunit alpha,Parvimonas micra,1.00e-07
WP_012817910.1," formate dehydrogenase H subunit alpha, selenocysteine-containing",Escherichia coli,5.14e-49
NP_313088.1," formate dehydrogenase-H, selenopolypeptide subunit",Escherichia coli,8.15e-49
YP_002415220.1, formate dehydrogenase-H selenopolypeptide subunit,Escherichia coli,1.07e-48
WP_077630709.1, formate dehydrogenase subunit alpha,Escherichia coli,1.11e-48
WP_077633847.1, formate dehydrogenase subunit alpha,Escherichia coli,1.12e-48
WP_001300547.1, MULTISPECIES: formate dehydrogenase subunit alpha,Escherichia coli,1.12e-48
WP_095629811.1, formate dehydrogenase subunit alpha,Megasphaera lornae,4.13e-48
WP_139687334.1, formate dehydrogenase subunit alpha,Sutterella sp,7.55e-48
WP_087478841.1, formate dehydrogenase subunit alpha,Megasphaera lornae,1.48e-47
WP_005428799.1, formate dehydrogenase subunit alpha,Sutterella wadsworthensis,2.31e-47
WP_021995532.1, formate dehydrogenase subunit alpha,Sutterella wadsworthensis,2.51e-47
WP_016474531.1, formate dehydrogenase subunit alpha,Sutterella wadsworthensis,2.76e-47
WP_083801168.1, formate dehydrogenase subunit alpha,Megasphaera micronuciformis,4.76e-45
WP_118788561.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,6.87e-43
WP_065360269.1, formate dehydrogenase subunit alpha,Megasphaera lornae,9.21e-43
WP_114892187.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,1.05e-42
WP_118775974.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,1.34e-42
WP_134078808.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,1.37e-42
WP_080563620.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,1.37e-42
WP_118855206.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,2.13e-42
WP_080950766.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,2.33e-42
WP_118795822.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,2.40e-42
WP_080950181.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,2.53e-42
WP_080565539.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.03e-42
WP_080948128.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.06e-42
WP_080567419.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.20e-42
WP_114675162.1, formate dehydrogenase,Campylobacter ureolyticus,3.26e-42
WP_114892665.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.41e-42
WP_118817230.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.64e-42
WP_118781644.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,3.84e-42
WP_081278295.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,4.44e-42
WP_118842976.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,5.13e-42
WP_050334068.1, formate dehydrogenase subunit alpha,Campylobacter ureolyticus,9.35e-42
WP_154254604.1, MULTISPECIES: formate dehydrogenase subunit alpha,Megasphaera lornae,1.98e-41
WP_118793832.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,2.01e-41
WP_081638972.1, MULTISPECIES: formate dehydrogenase subunit alpha,Megasphaera lornae,5.68e-41
WP_001198358.1, MULTISPECIES: sulfate ABC transporter substrate-binding protein,Escherichia coli,1.88e-38
WP_121831904.1, sulfate ABC transporter substrate-binding protein,Escherichia coli,4.21e-37
KXB53786.1, Tat pathway signal sequence domain protein,Eggerthella like,7.68e-37
WP_066779731.1, molybdopterin-dependent oxidoreductase,TM7 H1,1.28e-36
WP_000383354.1, MULTISPECIES: sulfate ABC transporter substrate-binding protein,Escherichia coli,1.71e-36
WP_000383350.1, sulfate ABC transporter substrate-binding protein,Escherichia coli,6.47e-36
WP_082715159.1, formate dehydrogenase subunit alpha,TM7 H1,7.63e-36
WP_046940035.1, sulfate ABC transporter substrate-binding protein,Haemophilus haemolyticus,1.03e-34
WP_005635027.1, sulfate ABC transporter substrate-binding protein,Haemophilus haemolyticus,1.10e-34
WP_005637641.1, sulfate ABC transporter substrate-binding protein,Haemophilus haemolyticus,1.21e-34
WP_118861421.1, sulfate ABC transporter substrate-binding protein,Haemophilus haemolyticus,2.28e-34
WP_118777337.1, sulfate ABC transporter substrate-binding protein,Haemophilus haemolyticus,2.99e-34
