id,protein,taxa,e-value
NP_415220.1," ornithine decarboxylase, degradative",Escherichia coli,0.0
YP_002406677.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000040183.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_001443479.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_001342032.1, MULTISPECIES: ornithine decarboxylase SpeF,Escherichia coli,0.0
YP_006118989.1, ornithine decarboxylase,Escherichia coli,0.0
YP_006780311.1, ornithine decarboxylase,Escherichia coli,0.0
WP_065228192.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_001292415.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_088592005.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_038431160.1, ornithine decarboxylase SpeF,Escherichia coli,0.0
WP_022472693.1, ornithine decarboxylase,Sutterella sp,0.0
WP_005432060.1, ornithine decarboxylase SpeF,Sutterella wadsworthensis,0.0
WP_016474890.1, ornithine decarboxylase SpeF,Sutterella wadsworthensis,0.0
WP_062332330.1, ornithine decarboxylase SpeF,Sutterella sp,0.0
WP_005435887.1, ornithine decarboxylase SpeF,Sutterella wadsworthensis,0.0
WP_005640819.1, MULTISPECIES: ornithine decarboxylase SpeF,Haemophilus haemolyticus,0.0
WP_000839810.1, ornithine decarboxylase,Escherichia coli,0.0
YP_006121258.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000839809.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000839797.1, ornithine decarboxylase,Escherichia coli,0.0
WP_065227617.1, ornithine decarboxylase,Escherichia coli,0.0
YP_002409308.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000839815.1, ornithine decarboxylase,Escherichia coli,0.0
YP_002414002.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000839773.1, ornithine decarboxylase,Escherichia coli,0.0
WP_000839764.1, MULTISPECIES: ornithine decarboxylase,Escherichia coli,0.0
WP_000839800.1, ornithine decarboxylase,Escherichia coli,0.0
NP_417440.4," ornithine decarboxylase, biosynthetic",Escherichia coli,0.0
WP_000839772.1, ornithine decarboxylase,Escherichia coli,0.0
YP_006777644.1, ornithine decarboxylase,Escherichia coli,0.0
WP_139689045.1, ornithine decarboxylase,Sutterella sp,0.0
WP_016474625.1, ornithine decarboxylase,Sutterella wadsworthensis,0.0
WP_005429922.1, ornithine decarboxylase,Sutterella wadsworthensis,0.0
WP_113854621.1, ornithine decarboxylase,Sutterella wadsworthensis,0.0
WP_022444793.1, ornithine decarboxylase,Sutterella sp,0.0
WP_048706779.1, MULTISPECIES: ornithine decarboxylase,Arcanobacterium haemolyticum,0.0
WP_156931049.1, ornithine decarboxylase SpeF,Veillonella atypica,0.0
