id,protein,taxa,e-value
WP_019261314.1, type I glutamate--ammonia ligase,Gardnerella genomosp16;Gardnerella genomosp2;Gardnerella vaginalis,0.0
WP_013399476.1, type I glutamate--ammonia ligase,Gardnerella vaginalis,0.0
WP_004112221.1, type I glutamate--ammonia ligase,Gardnerella genomosp14;Gardnerella genomosp15;Gardnerella genomosp2;Gardnerella genomosp3;Gardnerella vaginalis,0.0
WP_080560296.1, type I glutamate--ammonia ligase,Gardnerella vaginalis,0.0
WP_004130018.1, type I glutamate--ammonia ligase,Gardnerella genomosp3,0.0
WP_075038499.1, type I glutamate--ammonia ligase,Gardnerella vaginalis,0.0
WP_102990829.1, type I glutamate--ammonia ligase,Gardnerella vaginalis,0.0
WP_016636403.1, type I glutamate--ammonia ligase,Gardnerella genomosp17;Gardnerella genomosp3;Gardnerella piotii,0.0
WP_016819218.1, type I glutamate--ammonia ligase,Gardnerella genomosp15;Gardnerella genomosp2;Gardnerella piotii,0.0
tr|I4LTR5|I4LTR5_GARVA, Glutamine synthetase,Gardnerella genomosp2,0.0
WP_060787177.1, type I glutamate--ammonia ligase,Gardnerella genomosp11,0.0
tr|I4MA41|I4MA41_GARVA, Glutamine synthetase,Gardnerella genomosp3;Gardnerella piotii,0.0
WP_101887897.1, type I glutamate--ammonia ligase,Gardnerella vaginalis,0.0
WP_016637736.1, type I glutamate--ammonia ligase,Gardnerella genomosp7,0.0
tr|I4M2G2|I4M2G2_GARVA, Glutamine synthetase,Gardnerella genomosp10;Gardnerella genomosp8;Gardnerella genomosp9,0.0
WP_004109385.1, MULTISPECIES: type I glutamate--ammonia ligase,Gardnerella swidsinskii,0.0
WP_012914420.1, type I glutamate--ammonia ligase,Gardnerella swidsinskii,0.0
WP_116794235.1, type I glutamate--ammonia ligase,Gardnerella genomosp9,0.0
WP_102694544.1, type I glutamate--ammonia ligase,Gardnerella genomosp8,0.0
WP_004107300.1, MULTISPECIES: type I glutamate--ammonia ligase,Gardnerella leopoldii;Gardnerella swidsinskii,0.0
WP_103084846.1, type I glutamate--ammonia ligase,Gardnerella genomosp13,0.0
WP_075523568.1, type I glutamate--ammonia ligase,Gardnerella genomosp12,0.0
WP_003839859.1, MULTISPECIES: type I glutamate--ammonia ligase,Bifidobacterium dentium,0.0
RFT37878.1," type I glutamate--ammonia ligase, partial",Gardnerella vaginalis,0.0
RFT29742.1," type I glutamate--ammonia ligase, partial",Gardnerella vaginalis,0.0
WP_048707391.1, MULTISPECIES: type I glutamate--ammonia ligase,Arcanobacterium haemolyticum,0.0
WP_053962486.1, type I glutamate--ammonia ligase,Lawsonella clevelandensis,0.0
WP_009399697.1, type I glutamate--ammonia ligase,Actinomyces hongkongensis,0.0
WP_113722742.1, type I glutamate--ammonia ligase,Arcanobacterium haemolyticum,0.0
WP_013169962.1, type I glutamate--ammonia ligase,Arcanobacterium haemolyticum,0.0
WP_058236663.1, type I glutamate--ammonia ligase,Actinomyces ihumii,0.0
WP_070727148.1, MULTISPECIES: type I glutamate--ammonia ligase,Actinomyces radingae,0.0
WP_004012314.1, type I glutamate--ammonia ligase,Mobiluncus mulieris,0.0
WP_114990592.1, type I glutamate--ammonia ligase,Mobiluncus mulieris,0.0
WP_004006868.1, MULTISPECIES: type I glutamate--ammonia ligase,Mobiluncus curtisii;Mobiluncus holmesii,0.0
WP_036368053.1, type I glutamate--ammonia ligase,Mobiluncus curtisii,0.0
WP_154545966.1, type I glutamate--ammonia ligase,Mobiluncus holmesii,0.0
WP_005436222.1, type I glutamate--ammonia ligase,Sutterella wadsworthensis,1.68e-176
WP_062331745.1, type I glutamate--ammonia ligase,Sutterella sp,1.95e-176
WP_118274776.1, type I glutamate--ammonia ligase,Sutterella sp,2.04e-175
WP_022443828.1, glutamine synthetase,Sutterella sp,2.12e-172
WP_005431748.1, type I glutamate--ammonia ligase,Sutterella wadsworthensis,2.25e-169
WP_139688624.1, type I glutamate--ammonia ligase,Sutterella sp,1.96e-167
WP_001271717.1, MULTISPECIES: glutamate--ammonia ligase,Escherichia coli,2.78e-167
WP_001450751.1, MULTISPECIES: glutamate--ammonia ligase,Escherichia coli,4.20e-167
WP_022473648.1, glutamine synthetase,Sutterella sp,4.73e-166
WP_022373278.1, glutamine synthetase,Sutterella sp,1.12e-163
WP_111407961.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.17e-163
WP_118785408.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.54e-162
WP_118781697.1, glutamate--ammonia ligase,Haemophilus haemolyticus,4.29e-162
WP_118805822.1, glutamate--ammonia ligase,Haemophilus haemolyticus,8.07e-162
WP_118802764.1, glutamate--ammonia ligase,Haemophilus haemolyticus,8.25e-162
WP_111696376.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.27e-161
WP_005638917.1, glutamine synthetase,Haemophilus haemolyticus,3.15e-161
WP_005639699.1, MULTISPECIES: type I glutamate--ammonia ligase,Haemophilus haemolyticus,3.70e-161
WP_118861701.1, glutamate--ammonia ligase,Haemophilus haemolyticus,6.54e-161
WP_118776994.1, glutamate--ammonia ligase,Haemophilus haemolyticus,6.98e-161
WP_046949911.1, glutamate--ammonia ligase,Haemophilus haemolyticus,7.61e-161
WP_118800767.1, glutamate--ammonia ligase,Haemophilus haemolyticus,9.26e-161
WP_046938973.1, glutamate--ammonia ligase,Haemophilus haemolyticus,9.47e-161
WP_118775533.1, glutamate--ammonia ligase,Haemophilus haemolyticus,1.06e-160
WP_118868069.1, glutamate--ammonia ligase,Haemophilus haemolyticus,1.30e-160
WP_118843056.1, glutamate--ammonia ligase,Haemophilus haemolyticus,1.42e-160
WP_065245910.1, glutamate--ammonia ligase,Haemophilus haemolyticus,1.82e-160
WP_118795856.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.18e-160
WP_118878480.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.19e-160
WP_005645646.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.34e-160
WP_118817280.1, glutamate--ammonia ligase,Haemophilus haemolyticus,2.72e-160
WP_118859452.1, glutamate--ammonia ligase,Haemophilus haemolyticus,3.69e-160
WP_114891091.1, glutamate--ammonia ligase,Haemophilus haemolyticus,4.59e-160
WP_114909496.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,5.41e-160
WP_118845844.1, glutamate--ammonia ligase,Haemophilus haemolyticus,5.77e-160
WP_005634378.1, glutamate--ammonia ligase,Haemophilus haemolyticus,5.95e-160
WP_046942280.1, glutamate--ammonia ligase,Haemophilus haemolyticus,5.97e-160
WP_118815836.1, glutamate--ammonia ligase,Haemophilus haemolyticus,8.36e-160
WP_046952650.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,8.64e-160
WP_118813257.1, glutamate--ammonia ligase,Haemophilus haemolyticus,9.53e-160
WP_005631090.1, glutamate--ammonia ligase,Haemophilus haemolyticus,9.53e-160
WP_134079039.1, glutamate--ammonia ligase,Haemophilus haemolyticus,1.20e-159
WP_118808736.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,1.37e-159
WP_114892376.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,1.54e-159
WP_133498376.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,2.38e-159
WP_005626791.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,2.41e-159
WP_118855412.1, type I glutamate--ammonia ligase,Haemophilus haemolyticus,4.67e-159
WP_118790584.1, glutamate--ammonia ligase,Haemophilus haemolyticus,7.38e-159
WP_050333831.1, type I glutamate--ammonia ligase,Campylobacter ureolyticus,3.95e-134
WP_018712372.1, type I glutamate--ammonia ligase,Campylobacter ureolyticus,6.51e-134
WP_016645962.1, type I glutamate--ammonia ligase,Campylobacter ureolyticus,9.01e-134
WP_024961602.1, type I glutamate--ammonia ligase,Campylobacter ureolyticus,2.34e-133
WP_101636475.1, type I glutamate--ammonia ligase,Campylobacter ureolyticus,3.46e-133
WP_087315358.1, type I glutamate--ammonia ligase,Eubacterium sp,2.82e-129
WP_050638714.1, MULTISPECIES: type I glutamate--ammonia ligase,Eubacterium sp,3.08e-129
WP_087275998.1, type I glutamate--ammonia ligase,Eubacterium sp,3.99e-129
WP_022248690.1, glutamine synthetase,Eubacterium sp,8.33e-96
WP_021983529.1, glutamine synthetase type I,Eubacterium sp,1.70e-93
WP_022260337.1, glutamine synthetase,Eubacterium sp,2.94e-93
WP_066128880.1, type I glutamate--ammonia ligase,Gemella asaccharolytica,2.06e-91
WP_021972974.1, glutamine synthetase,Eubacterium sp,1.95e-90
WP_022501329.1, glutamine synthetase,Eubacterium sp,5.48e-90
WP_060913691.1, type I glutamate--ammonia ligase,Gemella haemolysans,1.17e-88
WP_022431460.1, glutamine synthetase,Eubacterium sp,5.47e-88
WP_004264335.1, type I glutamate--ammonia ligase,Gemella haemolysans,9.12e-88
WP_003146881.1, type I glutamate--ammonia ligase,Gemella haemolysans,4.71e-87
WP_087316285.1, type I glutamate--ammonia ligase,Eubacterium sp,5.28e-87
WP_022204468.1, glutamine synthetase,Eubacterium sp,5.33e-87
WP_022206252.1, glutamine synthetase,Eubacterium sp,1.40e-86
WP_102169474.1, type I glutamate--ammonia ligase,Gardnerella genomosp18,3.55e-86
WP_003717310.1, MULTISPECIES: type I glutamate--ammonia ligase,Lactobacillus vaginalis,9.51e-86
WP_016213748.1, type I glutamate--ammonia ligase,Eubacterium sp,1.01e-85
WP_087282577.1, type I glutamate--ammonia ligase,Eubacterium sp,1.27e-85
WP_117915799.1, MULTISPECIES: type I glutamate--ammonia ligase,Eubacterium sp,2.87e-85
WP_000156225.1, MULTISPECIES: type I glutamate--ammonia ligase,Streptococcus agalactiae,5.37e-85
WP_000156219.1, type I glutamate--ammonia ligase,Streptococcus agalactiae,6.88e-85
