id,protein,taxa,e-value
NP_416275.1, glutamate dehydrogenase,Escherichia coli,0.0
WP_000373043.1, MULTISPECIES: glutamate dehydrogenase,Escherichia coli,0.0
WP_000373042.1, NADP-specific glutamate dehydrogenase,Escherichia coli,0.0
YP_002412777.1, glutamate dehydrogenase,Escherichia coli,0.0
WP_000373050.1, MULTISPECIES: glutamate dehydrogenase,Escherichia coli,0.0
WP_000373038.1, glutamate dehydrogenase,Escherichia coli,0.0
YP_002407302.1, glutamate dehydrogenase,Escherichia coli,0.0
WP_000373048.1, MULTISPECIES: NADP-specific glutamate dehydrogenase,Escherichia coli,0.0
WP_046953453.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118845590.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118803417.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118859337.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118808965.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_046938889.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118815979.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118867612.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118795386.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118800215.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_114908821.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_111697037.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118776474.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_114890919.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_005639481.1, MULTISPECIES: NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118782351.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118785841.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118878763.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118789246.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_065245971.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118843598.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118791639.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118860851.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_065249770.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118776154.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_005630640.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_005646593.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_046949459.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_005638764.1, glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_046942809.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118806104.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_111407177.1, NADP-specific glutamate dehydrogenase,Haemophilus haemolyticus,0.0
WP_118417276.1, NADP-specific glutamate dehydrogenase,Bacteroides thetaiotaomicron,0.0
