id,protein,taxa,e-value
WP_004009768.1, arginine deiminase,Mobiluncus curtisii,1.70e-158
WP_004006599.1, MULTISPECIES: arginine deiminase,Mobiluncus curtisii;Mobiluncus holmesii,1.04e-157
YP_002410584.1, arginine deiminase,Escherichia coli,8.54e-126
YP_006122666.1, arginine deiminase,Escherichia coli,1.54e-125
WP_154543792.1, arginine deiminase,Mobiluncus holmesii,4.52e-101
WP_058236922.1, MULTISPECIES: arginine deiminase,Actinomyces ihumii;Actinomyces radingae,1.52e-90
CBL50697.1, Arginine deiminase,Lactobacillus crispatus,2.02e-79
OXC29531.1, arginine deiminase,Lactobacillus crispatus,2.45e-79
OXC45220.1, arginine deiminase,Lactobacillus crispatus,4.67e-79
OXC13026.1, arginine deiminase,Lactobacillus crispatus,7.33e-79
PLT11792.1, arginine deiminase,Lactobacillus crispatus,9.38e-79
TVS31045.1, arginine deiminase,Lactobacillus crispatus,1.62e-78
PLA29455.1, arginine deiminase,Lactobacillus crispatus,2.41e-78
OXC46184.1, arginine deiminase,Lactobacillus crispatus,3.26e-78
OXC23900.1, arginine deiminase,Lactobacillus crispatus,4.90e-78
KAA8808310.1, arginine deiminase,Lactobacillus crispatus,1.87e-77
WP_074617407.1, arginine deiminase,Eubacterium sp,6.18e-77
WP_075714146.1, arginine deiminase,Eubacterium sp,1.92e-76
WP_013378926.1, MULTISPECIES: arginine deiminase,Eubacterium sp,1.04e-75
EEJ69225.1, arginine deiminase,Lactobacillus crispatus,3.12e-75
WP_152726517.1, arginine deiminase,Lactobacillus reuteri,3.28e-75
WP_006586389.1, MULTISPECIES: arginine deiminase,Lactobacillus jensenii,9.98e-75
WP_094501905.1, arginine deiminase,Lactobacillus reuteri,1.29e-74
WP_006585717.1, arginine deiminase,Lactobacillus jensenii,1.41e-74
WP_048595442.1, arginine deiminase,Lactobacillus jensenii,1.80e-74
WP_094511640.1, arginine deiminase,Lactobacillus reuteri,1.80e-74
ETW73095.1, arginine deiminase,Lactobacillus crispatus,2.17e-74
WP_122481889.1, arginine deiminase,Lactobacillus reuteri,2.19e-74
WP_020842918.1, arginine deiminase,Lactobacillus reuteri,3.46e-74
WP_153710155.1, arginine deiminase,Lactobacillus reuteri,3.67e-74
WP_094504070.1, arginine deiminase,Lactobacillus reuteri,3.86e-74
WP_153701146.1, arginine deiminase,Lactobacillus reuteri,4.07e-74
WP_152699459.1, arginine deiminase,Lactobacillus reuteri,5.20e-74
WP_063164216.1, arginine deiminase,Lactobacillus reuteri,8.61e-74
WP_003667540.1, arginine deiminase,Lactobacillus reuteri,1.17e-73
WP_153706840.1, arginine deiminase,Lactobacillus reuteri,1.23e-73
WP_098046630.1, MULTISPECIES: arginine deiminase,Lactobacillus reuteri,1.24e-73
WP_019253948.1, arginine deiminase,Lactobacillus reuteri,1.32e-73
WP_066035444.1, arginine deiminase,Lactobacillus reuteri,1.34e-73
WP_006588815.1, arginine deiminase,Lactobacillus jensenii,1.36e-73
WP_078009134.1, arginine deiminase,Lactobacillus reuteri,1.50e-73
WP_003670382.1, arginine deiminase,Lactobacillus reuteri,1.76e-73
WP_098044677.1, MULTISPECIES: arginine deiminase,Lactobacillus vaginalis,4.31e-73
WP_003666532.1, arginine deiminase,Lactobacillus reuteri,4.34e-73
WP_019251346.1, arginine deiminase,Lactobacillus reuteri,4.58e-73
