id,protein,taxa,e-value
WP_000187778.1, MULTISPECIES: anaerobic ribonucleoside-triphosphate reductase,Escherichia coli,0.0
WP_000187775.1, anaerobic ribonucleoside-triphosphate reductase,Escherichia coli,0.0
YP_006781146.1, anaerobic ribonucleoside triphosphate reductase,Escherichia coli,0.0
YP_002410571.1, anaerobic ribonucleoside triphosphate reductase,Escherichia coli,0.0
YP_006122652.1, anaerobic ribonucleoside triphosphate reductase,Escherichia coli,0.0
WP_000187776.1, MULTISPECIES: anaerobic ribonucleoside-triphosphate reductase,Escherichia coli,0.0
WP_065246903.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118867783.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118855902.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118790197.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118846198.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118861378.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118815542.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_046950177.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_134079929.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118813641.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_005635418.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_133498238.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118800855.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_118775239.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_005646062.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
WP_114909363.1, anaerobic ribonucleoside-triphosphate reductase,Haemophilus haemolyticus,0.0
