id,protein,taxa,e-value
OWY46344.1, prenyl protease,Alternaria alternata,1.73E-26
OAG22755.1, hypothetical protein CC77DRAFT_959173,Alternaria alternata,3.34E-26
WP_004828103.1, formate/nitrite transporter family protein,Anaerococcus lactolyticus,2.34E-53
WP_037326838.1, formate/nitrite transporter family protein,Anaerococcus lactolyticus,8.41E-53
WP_131749704.1, formate/nitrite transporter family protein,Anaerococcus prevotii,9.59E-19
WP_004838145.1, formate/nitrite transporter family protein,Anaerococcus vaginalis,2.15E-48
WP_048707123.1, MULTISPECIES: formate transporter,Arcanobacterium haemolyticum,9.38E-77
WP_113723124.1, formate/nitrite transporter,Arcanobacterium haemolyticum,2.38E-13
WP_138975047.1, formate/nitrite transporter family protein,Arcanobacterium haemolyticum,2.92E-13
WP_013169718.1, formate/nitrite transporter family protein,Arcanobacterium haemolyticum,3.89E-13
KHC73320.1, formate/nitrite transporter,Candida albicans,1.84E-18
KGT66045.1, formate/nitrite transporter,Candida albicans,1.84E-18
KGU04768.1, formate/nitrite transporter,Candida albicans,1.85E-18
RLP65836.1, hypothetical protein L150_04611,Candida albicans,1.89E-18
KGU22618.1, formate/nitrite transporter,Candida albicans,1.94E-18
KHC58296.1, formate/nitrite transporter,Candida albicans,1.94E-18
KHC47686.1, formate/nitrite transporter,Candida albicans,1.96E-18
KGU25719.1, formate/nitrite transporter,Candida albicans,1.98E-18
KGQ84165.1, formate/nitrite transporter,Candida albicans,2.52E-18
CAG61301.1, unnamed protein product,Candida glabrata,1.47E-12
SCV14712.1, uncharacterized protein CGFF_02269,Candida glabrata,1.54E-12
KTB12085.1, putative transporter,Candida glabrata,1.71E-12
EER34047.1, hypothetical protein CTRG_02865,Candida tropicalis,7.73E-16
KXB51880.1, putative formate transporter FocA,Eggerthella like,3.61E-53
WP_000642546.1, MULTISPECIES: formate transporter FocA,Escherichia coli,0
WP_038430862.1, formate transporter FocA,Escherichia coli,0
WP_065227396.1, formate transporter FocA,Escherichia coli,3.90E-94
NP_416987.1, putative formate transporter,Escherichia coli,2.07E-93
YP_002413510.1, putative formate transporter,Escherichia coli,2.75E-93
WP_001244723.1, MULTISPECIES: formate transporter,Escherichia coli,8.54E-93
WP_001244720.1, formate transporter,Escherichia coli,1.02E-92
WP_001244742.1, formate transporter,Escherichia coli,1.59E-92
YP_002408578.1, putative formate transporter,Escherichia coli,1.45E-91
YP_006778100.1, formate transporter,Escherichia coli,5.73E-71
WP_000493579.1, nitrite transporter NirC,Escherichia coli,1.63E-14
WP_000493556.1, MULTISPECIES: nitrite transporter NirC,Escherichia coli,4.12E-14
WP_000493550.1, MULTISPECIES: nitrite transporter NirC,Escherichia coli,4.33E-14
YP_006121682.1, nitrite transporter NirC,Escherichia coli,5.17E-14
YP_002414482.1, nitrite transporter,Escherichia coli,5.17E-14
WP_000493547.1, nitrite transporter NirC,Escherichia coli,5.99E-14
WP_000886534.1, MULTISPECIES: formate transporter 1 domain protein,Escherichia coli,7.22E-12
WP_022505323.1, formate/nitrite transporter,Eubacterium sp,6.58E-43
WP_118517253.1, formate/nitrite transporter family protein,Eubacterium sp,2.02E-40
WP_117999073.1, formate/nitrite transporter family protein,Eubacterium sp,4.11E-39
WP_117913705.1, formate/nitrite transporter family protein,Eubacterium sp,1.54E-38
WP_022166213.1, formate/nitrite transporter,Eubacterium sp,2.38E-38
WP_073383434.1, MULTISPECIES: formate/nitrite transporter family protein,Eubacterium sp,2.21E-37
WP_119212039.1, formate/nitrite transporter family protein,Eubacterium sp,6.35E-36
WP_022259882.1, formate/nitrite transporter,Eubacterium sp,1.73E-35
WP_022088291.1, hypothetical protein,Eubacterium sp,2.03E-35
WP_117910360.1, MULTISPECIES: formate/nitrite transporter family protein,Eubacterium sp,7.00E-35
WP_118436904.1, formate/nitrite transporter family protein,Eubacterium sp,7.13E-35
WP_022089809.1, formate/nitrite transporter,Eubacterium sp,6.09E-33
WP_021982969.1, formate/nitrite transporter,Eubacterium sp,3.82E-30
WP_118588492.1, formate/nitrite transporter family protein,Eubacterium sp,1.11E-28
