id,protein,taxa,e-value
NP_418330.1, formate dehydrogenase O subunit alpha,Escherichia coli,0.0
YP_002415042.1, formate dehydrogenase-O large subunit,Escherichia coli,0.0
WP_011310337.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077884234.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077697102.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_089158675.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
NP_312847.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_077626213.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_149026280.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
NP_310105.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_012817776.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
NP_415991.1, formate dehydrogenase N subunit alpha,Escherichia coli,0.0
WP_143182663.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077626401.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_077697106.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_002412465.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_002407733.1," formate dehydrogenase-N subunit alpha, nitrate-inducible",Escherichia coli,0.0
WP_077698162.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_006122231.1," formate dehydrogenase-O, large subunit",Escherichia coli,0.0
WP_000181523.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181536.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181537.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181529.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181531.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000395613.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_153065051.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155759340.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_141562021.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_151238350.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155397216.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_145960443.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_155759390.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_144265952.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_141561824.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_000181584.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181666.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_000181622.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_065226895.1, formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
YP_006119819.1," formate dehydrogenase-N subunit alpha, nitrate-inducible",Escherichia coli,0.0
WP_000181649.1, MULTISPECIES: formate dehydrogenase-N subunit alpha,Escherichia coli,0.0
WP_155397416.1," formate dehydrogenase-N subunit alpha, partial",Haemophilus haemolyticus,0.0
WP_114891699.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118861420.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_046953564.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118785010.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_114909313.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118859215.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118777338.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118795660.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_111407478.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118815577.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118775193.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_118867827.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_053465425.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
WP_005628715.1, formate dehydrogenase-N subunit alpha,Haemophilus haemolyticus,0.0
