id,protein,taxa,e-value
NP_415517.1, trimethylamine N-oxide reductase 1,Escherichia coli,0.0
WP_001062101.1, MULTISPECIES: trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_021577291.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_001063131.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_065226557.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_001063145.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
YP_002411932.1, trimethylamine N-oxide (TMAO) reductase I catalytic subunit,Escherichia coli,0.0
WP_025404283.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
YP_006119329.1," trimethylamine N-oxide (TMAO) reductase I, catalytic subunit",Escherichia coli,0.0
NP_309179.1, biotin sulfoxide reductase,Escherichia coli,0.0
YP_002408120.1," trimethylamine N-oxide (TMAO) reductase I, catalytic subunit",Escherichia coli,0.0
WP_001063175.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_127824114.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
WP_005640405.1, MULTISPECIES: trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_133498091.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_118856638.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_118808865.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_005639801.1, MULTISPECIES: trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_118785541.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_118791688.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
WP_118791024.1, trimethylamine-N-oxide reductase TorA,Haemophilus haemolyticus,0.0
YP_002407185.1," trimethylamine N-oxide reductase system III, catalytic subunit",Escherichia coli,0.0
WP_032323745.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176770.1, MULTISPECIES: molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176808.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176811.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_106907852.1, trimethylamine-N-oxide reductase TorA,Escherichia coli,0.0
YP_006778744.1," trimethylamine N-oxide reductase system III, catalytic subunit",Escherichia coli,0.0
NP_310609.2, biotin sulfoxide reductase,Escherichia coli,0.0
WP_000176817.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176806.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176856.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
YP_006120233.1," trimethylamine N-oxide reductase system III, catalytic subunit",Escherichia coli,0.0
NP_416386.4, trimethylamine N-oxide reductase 2,Escherichia coli,0.0
WP_000176765.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_000176812.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_121831925.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
YP_002412892.1, trimethylamine N-oxide reductase system III catalytic subunit,Escherichia coli,0.0
WP_065227089.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Escherichia coli,0.0
WP_024962889.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Campylobacter ureolyticus,0.0
WP_050335918.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Campylobacter ureolyticus,0.0
WP_114675452.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Campylobacter ureolyticus,0.0
WP_016646315.1, molybdopterin guanine dinucleotide-containing S/N-oxide reductase,Campylobacter ureolyticus,0.0
