id,protein,taxa,e-value
WP_022248557.1, hypothetical protein,Eubacterium sp,6.71e-170
CAG60793.1, unnamed protein product,Candida glabrata,5.16e-145
KTB22822.1," Aldehyde dehydrogenase 5, mitochondrial",Candida glabrata,6.00e-145
OAG24269.1, aldehyde dehydrogenase,Alternaria alternata,2.49e-140
AJU46387.1, Ald5p,Saccharomyces cerevisiae,1.55e-139
AJV32887.1, Ald5p,Saccharomyces cerevisiae,1.58e-139
AJU47400.1, Ald5p,Saccharomyces cerevisiae,1.96e-139
AJU48941.1, Ald5p,Saccharomyces cerevisiae,1.98e-139
AJV35394.1, Ald5p,Saccharomyces cerevisiae,2.57e-139
RYN84170.1, putative aldehyde dehydrogenase-like protein,Alternaria alternata,2.56e-138
OAG22256.1, aldehyde dehydrogenase,Alternaria alternata,1.09e-137
KTB15387.1," Potassium-activated aldehyde dehydrogenase, mitochondrial",Candida glabrata,6.20e-137
CAG58607.1, unnamed protein product,Candida glabrata,7.22e-137
AJU08912.1, Ald4p,Saccharomyces cerevisiae,8.90e-137
AJU05516.1, Ald4p,Saccharomyces cerevisiae,9.20e-137
OWY44119.1, aldehyde dehydrogenase-like protein,Alternaria alternata,1.22e-136
AJU09882.1, Ald4p,Saccharomyces cerevisiae,1.34e-136
AJT71781.1, Ald4p,Saccharomyces cerevisiae,1.53e-136
AJT71294.1, Ald4p,Saccharomyces cerevisiae,1.84e-136
AJT94232.1, Ald4p,Saccharomyces cerevisiae,1.92e-136
AJU10367.1, Ald4p,Saccharomyces cerevisiae,2.24e-136
KTB14761.1," Potassium-activated aldehyde dehydrogenase, mitochondrial",Candida glabrata,4.46e-135
KGK39478.1, hypothetical protein JL09_g1308,Pichia kudriavzevii,1.96e-134
KGK40528.1, hypothetical protein JL09_g420,Pichia kudriavzevii,1.07e-130
OUT23922.1, hypothetical protein CAS74_000297,Pichia kudriavzevii,1.48e-130
KGU28384.1, aldehyde dehydrogenase (NAD+),Candida albicans,3.03e-130
KGU12443.1, aldehyde dehydrogenase (NAD+),Candida albicans,4.52e-130
KGQ88856.1, aldehyde dehydrogenase (NAD+),Candida albicans,1.91e-129
