id,protein,taxa,e-value
WP_091791381.1, choline trimethylamine-lyase,Peptococcus niger,0.0
WP_075659896.1, choline trimethylamine-lyase,Peptoniphilus grossensis,0.0
WP_019116775.1, choline trimethylamine-lyase,Anaerococcus vaginalis,0.0
WP_004839422.1, choline trimethylamine-lyase,Anaerococcus vaginalis,0.0
WP_075712135.1, choline trimethylamine-lyase,Eubacterium sp,0.0
WP_027869008.1, choline trimethylamine-lyase,Eubacterium sp,0.0
WP_002563917.1, MULTISPECIES: choline trimethylamine-lyase,Atopobium minutum,0.0
WP_049525711.1, choline trimethylamine-lyase,Streptococcus pseudopneumoniae,0.0
WP_075582489.1, MULTISPECIES: choline trimethylamine-lyase,Megasphaera lornae,0.0
WP_059076807.1, choline trimethylamine-lyase,Megasphaera lornae,0.0
WP_118021354.1, choline trimethylamine-lyase,Megasphaera lornae,0.0
YP_002410085.1, putative Formate C-acetyltransferase (Pyruvate formate-lyase),Escherichia coli,0.0
YP_002410085.1, putative Formate C-acetyltransferase (Pyruvate formate-lyase),Escherichia coli,1.27e-15
WP_075711805.1, choline trimethylamine-lyase,Eubacterium sp,0.0
WP_118021514.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Megasphaera lornae,0.0
WP_087478123.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Megasphaera lornae,0.0
WP_029434774.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Bilophila wadsworthia,0.0
WP_095629724.1, MULTISPECIES: formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Megasphaera lornae,0.0
WP_040658539.1, dehydrogenase,Oscillibacter ruminantium,0.0
WP_005024668.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Bilophila wadsworthia,0.0
WP_005024665.1, formate C-acetyltransferase,Bilophila wadsworthia,6.34e-178
WP_101913318.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Megasphaera lornae,1.84e-177
WP_062412412.1, MULTISPECIES: glycyl radical enzyme,Megasphaera lornae,2.19e-177
WP_051356048.1, dehydrogenase,Megasphaera lornae,1.73e-175
WP_007391193.1, glycyl radical protein,Megasphaera lornae,1.56e-166
WP_050640129.1, MULTISPECIES: glycyl radical protein,Eubacterium sp,6.45e-158
WP_117995388.1, glycyl radical protein,Eubacterium sp,1.80e-149
WP_050639346.1, MULTISPECIES: formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,5.83e-148
WP_055150931.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,6.02e-148
WP_118115979.1, glycyl radical protein,Eubacterium sp,7.21e-148
WP_117571052.1, glycyl radical protein,Eubacterium sp,7.52e-148
WP_075660158.1, glycyl radical protein,Peptoniphilus grossensis,2.63e-147
LCVA_1194," glycyl radical enzyme, PFL2/glycerol dehydratase family protein",Lachnocurva vaginae,1.43e-146
WP_118277967.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,7.29e-145
WP_022165975.1, pyruvate formate-lyase,Eubacterium sp,9.48e-145
WP_115716549.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,1.37e-144
WP_003036273.1, glycyl radical protein,Streptococcus anginosus,3.68e-144
WP_117999249.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,4.40e-144
WP_002562817.1, MULTISPECIES: glycyl radical protein,Atopobium minutum,2.09e-143
WP_000166136.1, MULTISPECIES: glycyl radical protein,Streptococcus agalactiae,8.25e-143
WP_000166137.1, MULTISPECIES: glycyl radical protein,Streptococcus agalactiae,1.04e-142
WP_000166140.1, glycyl radical protein,Streptococcus agalactiae,1.36e-142
WP_118565850.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,1.91e-142
WP_000166134.1, MULTISPECIES: glycyl radical protein,Streptococcus agalactiae,6.16e-142
WP_117910704.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,6.85e-142
WP_016480313.1, glycyl radical protein,Streptococcus agalactiae,7.10e-141
WP_022526285.1, glycyl radical protein,Streptococcus anginosus,1.08e-140
WP_106384480.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Streptococcus anginosus,1.58e-140
WP_017647120.1, glycyl radical protein,Streptococcus agalactiae,1.63e-140
WP_117644328.1, glycyl radical protein,Streptococcus anginosus,2.04e-140
WP_049516580.1, glycyl radical protein,Streptococcus anginosus,2.20e-140
WP_003032459.1, MULTISPECIES: glycyl radical protein,Streptococcus anginosus,2.63e-140
WP_003023898.1, glycyl radical protein,Streptococcus anginosus,3.33e-140
WP_049507929.1, glycyl radical protein,Streptococcus anginosus,4.38e-140
WP_024053033.1, MULTISPECIES: glycyl radical protein,Streptococcus anginosus,4.38e-140
WP_138099453.1, glycyl radical protein,Streptococcus anginosus,4.53e-140
WP_126407445.1, MULTISPECIES: glycyl radical protein,Streptococcus anginosus,4.72e-140
WP_000248305.1, MULTISPECIES: glycyl radical protein,Haemophilus haemolyticus,6.06e-140
WP_021001879.1, MULTISPECIES: glycyl radical protein,Streptococcus anginosus,6.63e-140
WP_117996042.1, formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,Eubacterium sp,6.66e-140
