id,protein,taxa,e-value
WP_001292822.1, MULTISPECIES: formate C-acetyltransferase,Escherichia coli,0.0
YP_002411849.1, pyruvate formate lyase I,Escherichia coli,0.0
WP_001292812.1, MULTISPECIES: formate C-acetyltransferase,Escherichia coli,0.0
WP_118811524.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080950414.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118795519.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118855531.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_114908647.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118843432.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_111407149.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118868270.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_005639776.1, MULTISPECIES: formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_005636453.1, keto-acid formate acetyltransferase,Haemophilus haemolyticus,0.0
WP_075564425.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_083817218.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_081277690.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080950797.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118845958.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118782020.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118777223.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118800978.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118791585.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080563609.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118813490.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118858888.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118809030.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080565569.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_114892506.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118785351.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118789940.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118817205.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080948081.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_080950153.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_114891477.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_111695985.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118788950.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118775401.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_081278249.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_118803116.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_134079445.1, formate C-acetyltransferase,Haemophilus haemolyticus,0.0
WP_000861747.1, formate C-acetyltransferase,Escherichia coli,0.0
WP_096848033.1, formate C-acetyltransferase,Escherichia coli,0.0
WP_000861734.1, MULTISPECIES: 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
WP_065227721.1, formate C-acetyltransferase,Escherichia coli,0.0
WP_000861753.1, MULTISPECIES: 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
YP_002414257.1, pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,Escherichia coli,0.0
WP_000861740.1, 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
YP_006121441.1, pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,Escherichia coli,0.0
WP_000861750.1, MULTISPECIES: 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
WP_000861738.1, 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
WP_000861730.1, 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
WP_032323879.1, formate C-acetyltransferase,Escherichia coli,0.0
YP_002409518.1, pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,Escherichia coli,0.0
WP_000861739.1, 2-ketobutyrate formate-lyase/pyruvate formate-lyase,Escherichia coli,0.0
WP_154537758.1, formate C-acetyltransferase,Peptostreptococcus anaerobius,0.0
WP_061101638.1, formate C-acetyltransferase,Peptostreptococcus anaerobius,0.0
WP_002843988.1, formate C-acetyltransferase,Peptostreptococcus anaerobius,0.0
WP_019595655.1, formate C-acetyltransferase,Peptostreptococcus anaerobius,0.0
