id,protein,taxa,e-value
WP_005028437.1, MULTISPECIES: NADH dehydrogenase,Bilophila wadsworthia,0.0
WP_087275971.1, NADH-quinone oxidoreductase subunit D,Eubacterium sp,6.97e-157
WP_087315328.1, NADH-quinone oxidoreductase subunit D,Eubacterium sp,4.05e-156
WP_005028008.1, carbon monoxide-induced hydrogenase,Bilophila wadsworthia,3.31e-98
WP_114892118.1, hydrogenase large subunit,Haemophilus haemolyticus,8.20e-79
WP_118842899.1, hydrogenase large subunit,Haemophilus haemolyticus,9.12e-79
WP_118879660.1, hydrogenase large subunit,Haemophilus haemolyticus,1.15e-78
WP_046942430.1, hydrogenase large subunit,Haemophilus haemolyticus,1.24e-78
WP_118784797.1, hydrogenase large subunit,Haemophilus haemolyticus,1.27e-78
WP_046938554.1, hydrogenase large subunit,Haemophilus haemolyticus,1.40e-78
WP_005634689.1, MULTISPECIES: hydrogenase large subunit,Haemophilus haemolyticus,1.41e-78
WP_118868534.1, hydrogenase large subunit,Haemophilus haemolyticus,1.43e-78
WP_118801282.1, hydrogenase large subunit,Haemophilus haemolyticus,1.49e-78
WP_005636979.1, hydrogenase 3 large subunit,Haemophilus haemolyticus,1.64e-78
WP_046952910.1, hydrogenase large subunit,Haemophilus haemolyticus,2.14e-78
WP_134078185.1, hydrogenase large subunit,Haemophilus haemolyticus,4.01e-78
WP_118793939.1, hydrogenase large subunit,Haemophilus haemolyticus,9.65e-77
WP_118808931.1, hydrogenase large subunit,Haemophilus haemolyticus,1.23e-76
WP_118782242.1, hydrogenase large subunit,Haemophilus haemolyticus,4.66e-76
WP_118790422.1, hydrogenase large subunit,Haemophilus haemolyticus,4.91e-76
WP_005631956.1, hydrogenase large subunit,Haemophilus haemolyticus,8.72e-76
WP_005640545.1, MULTISPECIES: hydrogenase large subunit,Haemophilus haemolyticus,8.81e-76
WP_005626084.1, hydrogenase large subunit,Haemophilus haemolyticus,9.29e-76
WP_005645455.1, hydrogenase large subunit,Haemophilus haemolyticus,1.01e-75
WP_118788247.1, hydrogenase large subunit,Haemophilus haemolyticus,1.10e-75
YP_002408574.1, hydrogenase 4 subunit,Escherichia coli,1.49e-75
WP_065227391.1, hydrogenase large subunit,Escherichia coli,1.73e-75
WP_001102329.1, hydrogenase large subunit,Escherichia coli,1.84e-75
WP_001102327.1, hydrogenase large subunit,Escherichia coli,1.92e-75
YP_002413505.2, hydrogenase 4 subunit G,Escherichia coli,2.84e-75
WP_001102326.1, hydrogenase 4 catalytic subunit HyfG,Escherichia coli,1.08e-74
YP_006778105.1, hydrogenase 4 membrane subunit,Escherichia coli,7.99e-74
WP_001288139.1, hydrogenase large subunit,Escherichia coli,5.92e-68
WP_001288147.1, hydrogenase large subunit,Escherichia coli,1.45e-67
YP_002413734.1, hydrogenase 3 large subunit,Escherichia coli,1.48e-67
YP_002408842.1," hydrogenase 3, large subunit",Escherichia coli,1.63e-67
WP_001288134.1, MULTISPECIES: hydrogenase large subunit,Escherichia coli,1.70e-67
