id,protein,taxa,e-value
WP_001300547.1, MULTISPECIES: formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_077633847.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_077630709.1, formate dehydrogenase subunit alpha,Escherichia coli,0.0
WP_012817910.1," formate dehydrogenase H subunit alpha, selenocysteine-containing",Escherichia coli,0.0
NP_313088.1," formate dehydrogenase-H, selenopolypeptide subunit",Escherichia coli,0.0
YP_002415220.1, formate dehydrogenase-H selenopolypeptide subunit,Escherichia coli,0.0
YP_006781340.1," formate dehydrogenase-H, selenopolypeptide subunit",Escherichia coli,0.0
YP_006122433.1," formate dehydrogenase-H, selenopolypeptide subunit",Escherichia coli,0.0
WP_114892665.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118855206.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118842976.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_081278295.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080950766.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080948128.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080950181.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118775974.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080563620.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_114892187.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118781644.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080567419.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_080565539.1, MULTISPECIES: formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118795822.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_134078808.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118817230.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118793832.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_118788561.1, formate dehydrogenase subunit alpha,Haemophilus haemolyticus,0.0
WP_082715159.1, formate dehydrogenase subunit alpha,TM7 H1,0.0
WP_083801168.1, formate dehydrogenase subunit alpha,Megasphaera micronuciformis,0.0
WP_081638972.1, MULTISPECIES: formate dehydrogenase subunit alpha,Megasphaera lornae,0.0
WP_032827153.1, formate dehydrogenase,Haemophilus haemolyticus,0.0
WP_065360269.1, formate dehydrogenase subunit alpha,Megasphaera lornae,0.0
WP_154254604.1, MULTISPECIES: formate dehydrogenase subunit alpha,Megasphaera lornae,0.0
WP_087478841.1, formate dehydrogenase subunit alpha,Megasphaera lornae,0.0
WP_095629811.1, formate dehydrogenase subunit alpha,Megasphaera lornae,0.0
KXB51866.1, putative formate dehydrogenase H,Eggerthella like,0.0
WP_046938782.1," molybdopterin-dependent oxidoreductase, partial",Haemophilus haemolyticus,0.0
WP_154273762.1, formate dehydrogenase subunit alpha,Finegoldia magna,0.0
WP_080552394.1, formate dehydrogenase subunit alpha,Finegoldia magna,0.0
WP_094230127.1, formate dehydrogenase subunit alpha,Finegoldia magna,0.0
