id,protein,taxa,e-value
WP_081985397.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Parvimonas micra,0.0
WP_081446150.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Parvimonas micra,0.0
WP_081697357.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Parvimonas micra,0.0
WP_154537150.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Peptostreptococcus anaerobius,0.0
WP_094204386.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Finegoldia magna,0.0
WP_080503397.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Finegoldia magna,0.0
WP_083427719.1, glycine reductase complex selenoprotein B,Ezakiella massiliensis,3.78e-163
WP_081579632.1, glycine reductase complex selenoprotein B,Oscillibacter ruminantium,3.43e-152
WP_154538566.1, glycine reductase complex selenoprotein B,Peptostreptococcus anaerobius,6.06e-152
WP_081446159.1, MULTISPECIES: glycine reductase complex selenoprotein B,Parvimonas micra,3.99e-151
WP_084691347.1, glycine reductase complex selenoprotein B,Fenollaria massiliensis,1.81e-148
WP_081957933.1, MULTISPECIES: glycine reductase complex selenoprotein B,Eubacterium sp,2.06e-148
WP_081097431.1, glycine reductase complex selenoprotein B,Peptostreptococcus anaerobius,1.16e-147
WP_082244157.1, glycine reductase complex selenoprotein B,Fenollaria timonensis,2.31e-147
WP_080547814.1, glycine reductase complex selenoprotein B,Peptostreptococcus anaerobius,3.73e-147
WP_081459800.1, glycine reductase complex selenoprotein B,Gemella haemolysans,1.74e-145
WP_081450719.1, glycine reductase complex selenoprotein B,Gemella haemolysans,1.54e-144
WP_094208366.1, glycine reductase complex selenoprotein B,Finegoldia magna,2.05e-144
WP_084812685.1, glycine reductase complex selenoprotein B,Gemella haemolysans,2.23e-144
WP_094223264.1, glycine reductase complex selenoprotein B,Finegoldia magna,3.57e-144
WP_080503398.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Finegoldia magna,8.94e-144
WP_094225251.1, glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Finegoldia magna,2.18e-143
WP_080551584.1, glycine reductase complex selenoprotein B,Finegoldia magna,3.44e-143
WP_126512483.1, glycine reductase complex selenoprotein B,Gemella haemolysans,5.36e-143
WP_094206556.1, MULTISPECIES: glycine/betaine/sarcosine/D-proline family reductase selenoprotein B,Finegoldia magna,7.48e-143
WP_094203370.1, glycine reductase complex selenoprotein B,Finegoldia magna,8.12e-143
WP_154273614.1, glycine reductase complex selenoprotein B,Finegoldia magna,1.10e-142
