id,protein,taxa,e-value
WP_118777525.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_114891305.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_005636096.1, MULTISPECIES: ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_005638337.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_005644072.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118846313.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_114908407.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_009499652.1, MULTISPECIES: ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118801213.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118796020.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_046943053.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_005632198.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_005640815.1, MULTISPECIES: ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118794021.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_046953374.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118859474.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118791650.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_046949264.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_118815591.1, ornithine carbamoyltransferase,Haemophilus haemolyticus,0.0
WP_139688635.1, ornithine carbamoyltransferase,Sutterella sp,1.51e-177
WP_022444806.1, ornithine carbamoyltransferase,Sutterella sp,1.75e-177
WP_005431734.1, ornithine carbamoyltransferase,Sutterella wadsworthensis,5.35e-172
YP_006122664.1, ornithine carbamoyltransferase,Escherichia coli,4.23e-162
YP_002410582.1, ornithine carbamoyltransferase,Escherichia coli,1.21e-161
WP_103758913.1, ornithine carbamoyltransferase,Mobiluncus mulieris,2.09e-149
WP_004012854.1, ornithine carbamoyltransferase,Mobiluncus mulieris,1.23e-148
WP_115325502.1, ornithine carbamoyltransferase,Mobiluncus mulieris,1.38e-148
WP_004015535.1, ornithine carbamoyltransferase,Mobiluncus mulieris,4.55e-148
WP_114990125.1, ornithine carbamoyltransferase,Mobiluncus mulieris,1.17e-147
WP_004017546.1, ornithine carbamoyltransferase,Mobiluncus mulieris,1.29e-147
YP_002410586.1, ornithine carbamoyltransferase subunit F,Escherichia coli,1.39e-146
WP_006585715.1, ornithine carbamoyltransferase,Lactobacillus jensenii,4.01e-146
WP_006586387.1, MULTISPECIES: ornithine carbamoyltransferase,Lactobacillus jensenii,5.51e-146
WP_000012925.1, ornithine carbamoyltransferase,Escherichia coli,7.26e-146
WP_000012909.1, ornithine carbamoyltransferase,Escherichia coli,6.83e-145
YP_002415379.1, ornithine carbamoyltransferase 1,Escherichia coli,1.05e-144
WP_000012928.1, MULTISPECIES: ornithine carbamoyltransferase,Escherichia coli,1.17e-144
WP_000012897.1, MULTISPECIES: ornithine carbamoyltransferase,Escherichia coli,1.17e-144
WP_048595440.1, ornithine carbamoyltransferase,Lactobacillus jensenii,1.26e-144
WP_004016585.1, ornithine carbamoyltransferase,Mobiluncus mulieris,4.42e-144
WP_000012932.1, ornithine carbamoyltransferase,Escherichia coli,5.39e-144
WP_000012931.1, ornithine carbamoyltransferase,Escherichia coli,9.62e-144
NP_414807.1, CP4-6 prophage; ornithine carbamoyltransferase ArgF,Escherichia coli,4.16e-143
WP_004006601.1, MULTISPECIES: ornithine carbamoyltransferase,Mobiluncus curtisii;Mobiluncus holmesii,2.41e-140
WP_004009766.1, ornithine carbamoyltransferase,Mobiluncus curtisii,4.30e-140
WP_092649141.1, ornithine carbamoyltransferase,Actinomyces radingae,7.03e-139
WP_058237872.1, MULTISPECIES: ornithine carbamoyltransferase,Actinomyces ihumii,7.59e-139
WP_065532685.1, ornithine carbamoyltransferase,Lactobacillus reuteri,3.20e-138
WP_003667515.1, ornithine carbamoyltransferase,Lactobacillus reuteri,3.27e-138
